Number of Records,Ace1,Ace2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,Break1,Break2,Country1,Country2,Double1,Double2,Error1,Error2,fastServe1,fastServe2,firstPointWon1,firstPointWon2,firstServe1,firstServe2,Gender,Net1,Net2,Player1,Player2,Results,Return1,Return2,Round,secPointWon1,secPointWon2,Total1,Total2,Winner1,Winner2,Winner,Year
1,27,5,195,169,159,143,0.29,0.17,LUX,AUS,4,7,29,39,204,175,0.83,0.65,0.67,0.56,m,0.48,0.64,Gilles Muller,Bernard Tomic,3-6 6-1 6-4 6-2,0.43,0.27,Second,0.53,0.47,120,92,54,32,Gilles Muller,2009
1,22,4,190,188,148,140,0.39,0.33,CRO,SRB,2,3,46,42,203,203,0.78,0.6,0.59,0.55,m,0.63,0.68,Marin Cilic,Janko Tipsarevic,6-2 6-3 4-6 6-3,0.44,0.35,Second,0.46,0.5,134,115,54,32,Marin Cilic,2009
1,7,3,192,174,158,137,0.64,0.2,ARG,GER,0,1,30,19,208,185,0.67,0.53,0.66,0.62,m,0.67,0.51,Juan Martin Del Potro,Florian Mayer,6-1 7-5 6-2,0.49,0.33,Second,0.68,0.48,92,66,41,12,Juan Martin Del Potro,2009
1,7,8,179,177,145,137,0.4,0.25,USA,CAN,5,3,21,15,198,203,0.8,0.69,0.66,0.55,m,0.78,0.48,James Blake,Frank Dancevic,6-4 6-3 7-5,0.45,0.32,First,0.45,0.38,109,88,46,32,James Blake,2009
1,8,5,,,0,0,0.6,0.43,CRO,FRA,5,1,,,,,0.72,0.64,0.63,0.68,m,,,Roko Karanusic,Florent Serra,6-3 1-6 6-3 3-6 6-3,0.4,0.38,First,0.44,0.53,131,126,,,Roko Karanusic,2009
1,12,9,179,172,143,146,0.5,0.36,CHI,AUS,4,11,58,47,203,193,0.8,0.63,0.57,0.53,m,0.76,0.8,Fernando Gonzalez,Lleyton Hewitt,5-7 6-2 6-2 3-6 6-3,0.42,0.33,First,0.51,0.52,145,121,67,32,Fernando Gonzalez,2009
1,2,0,158,161,130,132,0.75,0,GBR,ROU,3,3,11,17,198,188,1,0.59,0.65,0.56,m,1,0.55,Andy Murray,Andrei Pavel,6-2 3-1 ret.,0.54,0.19,First,0.45,0.29,46,24,13,6,Andy Murray,2009
1,9,9,,,0,0,0.31,0.67,CZE,ECU,3,5,,,,,0.7,0.64,0.67,0.58,m,,,Radek Stepanek,Nicolas Lapentti,3-6 6-3 6-4 6-4,0.38,0.31,First,0.67,0.58,126,114,,,Radek Stepanek,2009
1,9,6,,,0,0,0.33,0.56,ROU,CZE,4,8,,,,,0.62,0.65,0.72,0.72,m,,,Victor Hanescu,Jan Hernych,3-6 3-6 7-6(7) 7-6(4) 8-6,0.41,0.41,First,0.53,0.44,188,191,,,Victor Hanescu,2009
1,4,4,,,0,0,0.44,0.33,AUT,RUS,4,5,,,,,0.79,0.42,0.54,0.63,m,,,Stefan Koubek,Mikhail Youzhny,6-3 6-2 6-2,0.54,0.33,First,0.5,0.53,96,65,,,Stefan Koubek,2009
1,11,2,,,0,0,0.83,0,LAT,ESP,1,2,,,,,0.83,0.7,0.64,0.54,m,,,Ernests Gulbis,Albert Montanes,6-3 6-2 6-3,0.37,0.26,First,0.59,0.55,80,62,,,Ernests Gulbis,2009
1,12,1,,,0,0,0.45,1,CRO,USA,2,4,,,,,0.78,0.64,0.69,0.66,m,,,Mario Ancic,Wayne Odesnik,7-5 6-4 4-6 6-2,0.39,0.28,First,0.56,0.55,128,111,,,Mario Ancic,2009
1,7,2,164,179,142,143,0.58,0,ESP,FRA,4,4,18,43,204,193,0.8,0.56,0.72,0.44,m,0.67,0.4,Fernando Verdasco,Adrian Mannarino,6-0 6-2 6-2,0.58,0.28,First,0.53,0.31,86,45,24,12,Fernando Verdasco,2009
1,2,9,,,0,0,0.47,0.43,FRA,UKR,2,4,,,,,0.71,0.61,0.42,0.62,m,,,Arnaud Clement,Sergiy Stakhovsky,6-3 2-6 4-6 6-2 6-1,0.44,0.43,First,0.47,0.47,146,139,,,Arnaud Clement,2009
1,9,14,185,192,146,161,0.31,0.38,GER,AUS,3,6,18,55,204,211,0.79,0.57,0.53,0.58,m,0.69,0.43,Michael Berrer,Carsten Ball,6-2 6-4 6-3,0.53,0.34,First,0.53,0.35,114,82,29,38,Michael Berrer,2009
1,1,3,,,0,0,0.53,0.4,GER,AUS,2,5,,,,,0.7,0.58,0.69,0.57,m,,,Andreas Beck,Colin Ebelthite,7-5 6-1 6-0,0.55,0.31,First,0.67,0.28,92,59,,,Andreas Beck,2009
1,10,2,177,166,154,142,0.46,0.29,GER,ARG,5,4,32,31,195,190,0.86,0.61,0.48,0.61,m,0.78,0.72,Tommy Haas,Eduardo Schwank,6-3 6-3 6-4,0.46,0.33,First,0.5,0.44,102,79,44,27,Tommy Haas,2009
1,10,3,,,,,0.54,0.75,UZB,USA,5,7,,,,,0.79,0.55,0.59,0.65,m,,,Denis Istomin,Vince Spadea,6-2 7-5 6-4,0.51,0.33,First,0.5,0.39,101,73,,,Denis Istomin,2009
1,9,0,174,171,142,137,0.38,0.33,FRA,ARG,7,6,49,38,209,196,0.83,0.54,0.51,0.66,m,0.7,0.52,Gael Monfils,Martin Vassallo Arguello,6-1 6-3 7-5,0.51,0.37,First,0.42,0.4,117,91,48,18,Gael Monfils,2009
1,13,7,,,0,0,0.5,0.5,RUS,CAN,7,4,,,,,0.83,0.62,0.59,0.61,m,,,Igor Andreev,Peter Polansky,5-7 3-6 6-4 6-3 6-4,0.41,0.32,First,0.46,0.55,159,142,,,Igor Andreev,2009
1,12,5,,,0,0,0.86,0.75,FRA,BEL,5,2,,,,,0.75,0.62,0.5,0.46,m,,,Sebastien de Chaunac,Steve Darcis,2-6 6-3 0-6 6-2 6-2,0.43,0.39,First,0.47,0.53,114,105,,,Sebastien de Chaunac,2009
1,26,10,,,0,0,0.47,0.8,CRO,RUS,4,6,,,,,0.71,0.66,0.68,0.77,m,,,Ivan Ljubicic,Igor Kunitsyn,4-6 7-6(3) 7-6(7) 5-7 6-3,0.41,0.37,First,0.46,0.37,180,173,,,Ivan Ljubicic,2009
1,4,6,,,0,0,0.33,0.25,ITA,KAZ,7,7,,,,,0.79,0.65,0.56,0.56,m,,,Fabio Fognini,Andrey Golubev,3-6 7-6(7) 6-4 6-2,0.37,0.32,First,0.53,0.61,136,127,,,Fabio Fognini,2009
1,11,10,191,196,153,151,0.33,0.25,SUI,GBR,2,4,42,36,209,214,0.72,0.69,0.66,0.57,m,0.72,0.61,Roger Federer,Andy Murray,6-3 6-4 7-6(11),0.37,0.32,Final,0.61,0.51,116,100,46,29,Roger Federer,2010
1,4,6,190,189,152,146,0.5,,SUI,FRA,0,5,13,27,208,207,0.84,0.69,0.64,0.56,m,0.73,0.52,Roger Federer,Jo-Wilfried Tsonga,6-2 6-3 6-2,0.41,0.22,semi,0.68,0.39,85,54,33,21,Roger Federer,2010
1,5,6,183,189,148,148,0.31,0.33,GBR,CRO,1,6,29,54,207,205,0.76,0.7,0.63,0.56,m,0.69,0.63,Andy Murray,Marin Cilic,3-6 6-4 6-4 6-2,0.39,0.31,semi,0.57,0.44,125,106,40,35,Andy Murray,2010
1,9,1,189,176,150,150,0.57,0.26,SUI,RUS,4,4,43,50,209,207,0.67,0.59,0.6,0.62,m,0.68,0.58,Roger Federer,Nikolay Davydenko,2-6 6-3 6-0 7-5,0.47,0.39,quarter,0.49,0.39,125,104,35,35,Roger Federer,2010
1,19,2,193,186,150,155,0.67,0.38,FRA,SRB,2,9,55,55,215,199,0.68,0.67,0.64,0.69,m,0.59,0.7,Jo-Wilfried Tsonga,Novak Djokovic,7-6(8) 6-7(5) 1-6 6-3 6-1,0.36,0.39,quarter,0.48,0.49,158,155,54,41,Jo-Wilfried Tsonga,2010
1,20,15,187,193,145,169,0.38,0.38,CRO,USA,6,1,53,51,207,220,0.75,0.69,0.5,0.63,m,0.73,0.54,Marin Cilic,Andy Roddick,7-6(4) 6-3 3-6 2-6 6-3,0.37,0.38,quarter,0.46,0.52,147,149,63,47,Marin Cilic,2010
1,13,1,193,175,152,143,0.4,0.17,GBR,ESP,1,1,25,26,216,199,0.77,0.63,0.59,0.67,m,0.79,0.87,Andy Murray,Rafael Nadal,6-3 7-6(2) 3-0 ret.,0.44,0.36,quarter,0.45,0.42,94,75,38,23,Andy Murray,2010
1,7,5,190,175,149,140,0.33,0.2,SUI,AUS,0,2,27,18,211,196,0.76,0.62,0.63,0.6,m,0.54,0.52,Roger Federer,Lleyton Hewitt,6-2 6-3 6-4,0.44,0.28,Fourth,0.66,0.45,102,77,49,18,Roger Federer,2010
1,6,15,187,195,154,164,0.58,0.33,RUS,ESP,5,20,51,81,207,219,0.68,0.73,0.62,0.57,m,0.68,0.67,Nikolay Davydenko,Fernando Verdasco,6-2 7-5 4-6 6-7(5) 6-3,0.35,0.35,Fourth,0.57,0.45,171,157,37,45,Nikolay Davydenko,2010
1,11,4,183,189,158,162,0.67,0.5,SRB,POL,1,4,17,25,202,209,0.8,0.68,0.69,0.62,m,0.58,0.49,Novak Djokovic,Lukasz Kubot,6-1 6-2 7-5,0.44,0.23,Fourth,0.7,0.31,92,58,37,18,Novak Djokovic,2010
